,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,entrez,genename
ENSG00000138271.6,5.35223294582989,-4.23702235393706,1.29051593818453,5.7955865724596e-05,0.00331309029089721,GPR87,53836,G protein-coupled receptor 87
ENSG00000154451.14,6.22848328813966,-4.23273667470078,2.06612817741187,0.00106186395123168,0.0275366072766771,GBP5,115362,guanylate binding protein 5
ENSG00000165891.16,615.958622810913,-4.21989865034695,1.28321505329454,3.74108865731461e-05,0.00236030758153868,E2F7,144455,E2F transcription factor 7
ENSG00000255213.1,8.16053856198142,-4.20536978055059,1.46968730688221,4.97794304415466e-05,0.00293729556937831,NA,NA,NA
ENSG00000183454.17,45.6535616795643,-4.13390194474439,1.48544470018118,8.66635658439953e-05,0.0044835395789391,GRIN2A,2903,glutamate ionotropic receptor NMDA type subunit 2A
ENSG00000128422.17,106.011470116116,-4.03675018451684,0.919784423619864,8.83717152234209e-07,0.000127289162664035,KRT17,3872,keratin 17
ENSG00000129048.7,574.052429171799,-3.99113014997215,2.05495327408343,0.000150838275497378,0.00683623421542305,ACKR4,51554,atypical chemokine receptor 4
ENSG00000284969.1,90.2100668664312,-3.985852688469,1.06540229977611,7.49369125190476e-06,0.000683328015106088,NA,NA,NA
ENSG00000167080.8,24.4751841143352,-3.96187016286811,1.30829547931371,8.53641594913747e-05,0.00444968744713982,B4GALNT2,124872,"beta-1,4-N-acetyl-galactosaminyltransferase 2"
ENSG00000112299.8,11.4814794656508,-3.93920573004995,1.51821308580344,0.000306773647873079,0.0115770159503161,VNN1,8876,vanin 1
ENSG00000019991.18,534.475968730449,-3.92942417446734,1.52660680843608,0.000311657790970519,0.01168377957671,HGF,3082,hepatocyte growth factor
ENSG00000010438.16,224.837018303629,-3.90501624596302,0.783139700867084,2.72566819128326e-08,7.23140737825843e-06,PRSS3,5646,serine protease 3
ENSG00000262406.3,763.984345986246,-3.89377369576564,1.06638356982214,1.69819430674162e-05,0.00127790665395313,MMP12,4321,matrix metallopeptidase 12
ENSG00000123496.8,268.168106683023,-3.88758336656251,1.40265281745836,0.000176274204951165,0.00767961767844084,IL13RA2,3598,interleukin 13 receptor subunit alpha 2
ENSG00000235448.3,4.81889118886704,-3.86577195791112,1.06520853729847,1.65004608669359e-05,0.00125536962198666,LURAP1L-AS1,101929467,LURAP1L antisense RNA 1
ENSG00000256940.2,51.6026531705463,-3.83289024854954,0.823303380803123,1.34779489519491e-07,2.68799921896861e-05,PPP1R14B-AS1,105369340,PPP1R14B antisense RNA 1
ENSG00000145087.12,4.76468396035877,-3.81324979662049,1.96799262276822,0.000858135635081068,0.0239329633859402,STXBP5L,9515,syntaxin binding protein 5 like
ENSG00000111863.12,36.7469902536347,-3.77304645355271,1.35207559033504,0.000160471732923158,0.0071415097658319,ADTRP,84830,androgen dependent TFPI regulating protein
ENSG00000156475.18,48.4103128749893,-3.72662180982439,1.08510043337945,5.42942052270121e-05,0.00313632118779908,PPP2R2B,5521,protein phosphatase 2 regulatory subunit Bbeta
ENSG00000125848.10,481.954802112459,-3.67467062073496,0.912218202683405,2.18805360272951e-06,0.000260227478476348,FLRT3,23767,fibronectin leucine rich transmembrane protein 3
ENSG00000277734.8,30.3010168096721,-3.64766709777119,0.913460923484422,8.0323737168202e-06,0.000713398891398615,NA,NA,NA
ENSG00000114638.8,54.9623779681136,-3.64521673853296,1.49320948286703,0.00042211691329565,0.0144583576301473,UPK1B,7348,uroplakin 1B
ENSG00000238145.2,8.44340417748149,-3.55137929605115,2.6283076440345,0.00320014010355073,0.0567043793716145,NA,NA,NA
ENSG00000081237.20,47.8179875604197,-3.50640207121179,1.45098882026547,0.000364324366697263,0.0129988421455744,PTPRC,5788,protein tyrosine phosphatase receptor type C
ENSG00000283162.1,7.90042110495618,-3.46167876318354,1.88826753554241,0.00139004515877248,0.0329125795373428,NA,NA,NA
ENSG00000231672.7,153.626013824376,-3.39176118544383,1.76984052053793,0.00130316014062231,0.0315410478947814,NA,NA,NA
ENSG00000014257.16,82.8398527392482,-3.37472124069128,0.887944416484489,5.86140113405827e-06,0.000569442532662442,ACPP,55,"acid phosphatase, prostate"
ENSG00000242147.2,14.6303610535493,-3.33490737330782,1.06566756096108,6.98560548236437e-05,0.00382434179502773,LINC02657,105376382,long intergenic non-protein coding RNA 2657
ENSG00000187957.8,11.347990712202,-3.3292508840014,1.09494125688791,9.50339568311649e-05,0.00477338034627215,DNER,92737,delta/notch like EGF repeat containing
ENSG00000170006.12,167.412330428391,-3.20575653979809,1.92566462080342,0.00200439463922363,0.0420046090982281,TMEM154,201799,transmembrane protein 154
ENSG00000205571.13,213.595716986419,-3.1509480253247,1.69787628457356,0.00132538730323978,0.0319296447651269,SMN1,6606,"survival of motor neuron 1, telomeric"
ENSG00000107798.18,4103.63273987106,-3.13968856760212,0.254886758825618,4.72335968984652e-36,9.77452054216839e-32,LIPA,3988,"lipase A, lysosomal acid type"
ENSG00000234147.1,5.88835678025959,-3.13087845431508,1.31478498533928,0.000642290505695084,0.0194037368246045,NA,NA,NA
ENSG00000184937.15,15.4128020756754,-3.12379238186495,2.52294301274408,0.00364345587932942,0.0613117551084948,WT1,7490,WT1 transcription factor
ENSG00000225178.5,125.259387322897,-3.11425233716957,1.42768381537769,0.000856519546621404,0.0239201288769006,NA,NA,NA
ENSG00000172927.8,112.341622203569,-3.06349156957501,0.62553817534215,4.52897816560806e-08,1.12039199950664e-05,MYEOV,26579,myeloma overexpressed
ENSG00000231574.6,12.9350192772207,-3.02792013947703,1.15391590636539,0.000220097195995023,0.00912763802388979,LINC02015,102724550,long intergenic non-protein coding RNA 2015
ENSG00000258245.1,8.71299545647242,-2.99026333326366,1.83576335163235,0.00268928855337073,0.0508999047018347,NA,NA,NA
ENSG00000188460.4,7.7517673936816,-2.97631849749084,2.48131912865054,0.00444046686388257,0.069772985027476,NA,NA,NA
ENSG00000184226.15,573.171757655733,-2.9456206570707,1.18878013556329,0.000459607134919076,0.0151692345295301,PCDH9,5101,protocadherin 9
ENSG00000153237.18,14.69238429838,-2.8903690254934,0.761935856499425,5.72585623978374e-06,0.000561568099649691,CCDC148,130940,coiled-coil domain containing 148
ENSG00000135838.13,23.9296758609095,-2.88384166024981,0.808615141089847,1.48397143384536e-05,0.0011556660615818,NPL,80896,N-acetylneuraminate pyruvate lyase
ENSG00000090339.9,1386.94097621965,-2.87447975746433,1.68755746271667,0.0020511717446773,0.0425746721006541,ICAM1,3383,intercellular adhesion molecule 1
ENSG00000248690.8,13.6623543368295,-2.85873031656195,2.06378550596683,0.00301157486902354,0.0546248184593113,NA,NA,NA
ENSG00000134516.17,43.8040724788565,-2.85527902021531,0.806623152109126,1.81257977434401e-05,0.00132635486552193,DOCK2,1794,dedicator of cytokinesis 2
ENSG00000217801.10,26.6997605232633,-2.85328231313664,0.961150774613164,0.00010172748355793,0.00501225843987574,LOC100288175,100288175,uncharacterized LOC100288175
ENSG00000251258.2,3.28415105676159,-2.83207291241635,2.17276834175432,0.00351823613061591,0.0600712693786845,RFPL4B,442247,ret finger protein like 4B
ENSG00000117601.13,12.7828594309417,-2.8227217101808,1.49049340248911,0.00189115478555498,0.0403889664222139,SERPINC1,462,serpin family C member 1
ENSG00000156398.13,61.1903024102907,-2.82186755137118,2.01472001028243,0.00309431780468915,0.0553925714967451,SFXN2,118980,sideroflexin 2
ENSG00000237433.1,6.64241755889869,-2.79893137918555,1.01332169692874,0.000289505051774713,0.0112613111680938,NA,NA,NA
ENSG00000213261.3,10.2352979954361,-2.775961664297,0.894502983835811,8.83844875727262e-05,0.00450499651682265,NA,NA,NA
ENSG00000240759.1,4.12377873688383,-2.75925999807442,2.09101219695886,0.00479935776326623,0.073351484160289,NA,NA,NA
ENSG00000244245.1,4.09109748447235,-2.74197984504508,1.82289037183045,0.00342476296731199,0.059115286557721,NA,NA,NA
ENSG00000138379.5,41.918457178381,-2.74025123880791,1.32034346828449,0.000974701362095244,0.0260600387431511,MSTN,2660,myostatin
ENSG00000149548.15,59.3157393176975,-2.71971509266739,1.23025013642893,0.000870466485542905,0.024146693635154,CCDC15,80071,coiled-coil domain containing 15
ENSG00000226221.1,6.12082762073798,-2.7105157252267,1.66943916418792,0.0033086076031218,0.0581225176052652,NA,NA,NA
ENSG00000254991.1,4.39091940874443,-2.58653904027309,1.86080693940894,0.00381588490560371,0.063070971341625,NA,NA,NA
ENSG00000114529.12,259.711445360376,-2.57107318217969,0.320231200884107,8.43661515637358e-17,4.36468285114987e-13,C3orf52,79669,chromosome 3 open reading frame 52
ENSG00000233532.6,58.6537350483145,-2.56782089999858,0.687512583015194,9.51432952790295e-06,0.000810726867993267,LINC00460,728192,long intergenic non-protein coding RNA 460
ENSG00000125845.7,270.690513727094,-2.54051143312116,1.17719517420452,0.00101532203330326,0.0266637996918498,BMP2,650,bone morphogenetic protein 2
ENSG00000246898.1,23.6950159583203,-2.53492079549635,0.873666162605305,0.000223334179991819,0.00924335504150139,NA,NA,NA
ENSG00000124126.14,101.629695791671,-2.52432181323266,0.737938963980587,2.86888892887124e-05,0.00189521395824769,PREX1,57580,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1"
ENSG00000221843.4,26.9080055865816,-2.52047699609125,1.06565217960151,0.000673301388188854,0.0201057704576914,C2orf16,84226,chromosome 2 open reading frame 16
ENSG00000182718.16,140329.946063331,-2.49664289324343,0.253962213917198,5.30320206594235e-24,3.65814878508703e-20,ANXA2,302,annexin A2
ENSG00000131153.9,156.337600730085,-2.49381546605531,0.539314043691979,1.75691749351514e-07,3.27546401899121e-05,GINS2,51659,GINS complex subunit 2
ENSG00000213621.3,13.0159256612549,-2.48008430001459,0.77040689870545,6.21095852925496e-05,0.0035213582412165,NA,NA,NA
ENSG00000139364.10,61.2835865621589,-2.46913483843877,0.813882613518592,9.8291758980313e-05,0.00490132448274361,TMEM132B,114795,transmembrane protein 132B
ENSG00000258477.1,16.3777594207648,-2.45286457977111,1.34679946612444,0.00282913171081352,0.0524136540945165,NA,NA,NA
ENSG00000163584.18,1486.065510557,-2.43987473377728,0.431493141425386,9.20583403852201e-10,4.41931970854612e-07,RPL22L1,200916,ribosomal protein L22 like 1
ENSG00000114942.14,8719.88536010547,-2.43252518203063,0.48462956661052,2.9650976516144e-08,7.76705453196308e-06,EEF1B2,1933,eukaryotic translation elongation factor 1 beta 2
ENSG00000152689.18,80.0280369717987,-2.42787701640731,1.04957791130373,0.000747570919278799,0.0218197921065662,RASGRP3,25780,RAS guanyl releasing protein 3
ENSG00000166922.8,1210.49948320862,-2.41400547313088,1.13479543072359,0.00110168269041884,0.0282856347339051,SCG5,6447,secretogranin V
ENSG00000006606.8,42.0504491189054,-2.39882443026793,0.920078743220982,0.000337354157006186,0.0123172454513931,CCL26,10344,C-C motif chemokine ligand 26
ENSG00000259146.4,27.9885498753046,-2.39747430217326,0.824958665424626,0.000201540745622306,0.00849264881518715,NA,NA,NA
ENSG00000131015.5,679.875516821371,-2.38883421138335,0.382802508237518,2.61387107917363e-11,2.00338696712663e-08,ULBP2,80328,UL16 binding protein 2
ENSG00000196954.14,2718.43357803563,-2.34736315136562,0.38067043488084,4.81412729753576e-11,3.32078500984017e-08,CASP4,837,caspase 4
ENSG00000232883.1,15.8404560509495,-2.33333326545337,0.92291898388929,0.000627773083876933,0.0191249583254591,NA,NA,NA
ENSG00000182050.13,11.9794839928674,-2.32958675843691,1.37554712323556,0.00168463037761799,0.0374053015390844,MGAT4C,25834,MGAT4 family member C
ENSG00000105929.16,8.1179223885953,-2.30359212170501,1.77890619579046,0.00366937038246497,0.0613855704888683,ATP6V0A4,50617,ATPase H+ transporting V0 subunit a4
ENSG00000143420.18,987.577663492073,-2.30331886481862,0.44960036758322,1.78715376004301e-08,5.2089239310324e-06,ENSA,2029,endosulfine alpha
ENSG00000181649.8,249.200481780929,-2.29695832887705,0.904747243052229,0.000458135303713504,0.0151448114617368,PHLDA2,7262,pleckstrin homology like domain family A member 2
ENSG00000163823.4,7.88165239901199,-2.29675376800453,1.50669445263923,0.00332040929926942,0.0582803647490089,CCR1,1230,C-C motif chemokine receptor 1
ENSG00000139239.7,17.0620401275898,-2.28919822308459,0.809728636870228,0.000211722779968743,0.00880864092440808,NA,NA,NA
ENSG00000184156.17,50.2163959091652,-2.28668610793787,1.09578961007245,0.0012677602966879,0.0309740632581575,KCNQ3,3786,potassium voltage-gated channel subfamily Q member 3
ENSG00000136167.14,30.2464550699574,-2.25441100771723,0.849357776277921,0.000291580859432015,0.0112784566450208,LCP1,3936,lymphocyte cytosolic protein 1
ENSG00000147010.18,981.958785658974,-2.24740741515102,0.890882277735301,0.000491090700880029,0.0158791108812677,SH3KBP1,30011,SH3 domain containing kinase binding protein 1
ENSG00000169607.13,182.798792748243,-2.23045933898214,1.07566771746366,0.00113902469873268,0.0288525886591605,CKAP2L,150468,cytoskeleton associated protein 2 like
ENSG00000143786.8,133.369330474295,-2.22084375457412,1.0669902722519,0.00129996490917216,0.0315005548365442,CNIH3,149111,cornichon family AMPA receptor auxiliary protein 3
ENSG00000139985.7,7.64250189088647,-2.21278031860023,1.04411834578733,0.00137267875214327,0.0327260531069732,ADAM21,8747,ADAM metallopeptidase domain 21
ENSG00000139278.10,3499.61675160258,-2.20453203992755,0.831660051112538,0.000357297658152978,0.0128589873701178,GLIPR1,11010,GLI pathogenesis related 1
ENSG00000272369.1,13.5569327459898,-2.19523761203851,0.896773552763341,0.000612097202192139,0.0188493147353633,NA,NA,NA
ENSG00000164251.5,278.150983853732,-2.1810033822632,0.704611277068637,9.69768526781369e-05,0.00484743717227383,F2RL1,2150,F2R like trypsin receptor 1
ENSG00000095637.22,22.3124140373148,-2.18097276801498,0.661889720228967,4.53398487301463e-05,0.00274345856614517,SORBS1,10580,sorbin and SH3 domain containing 1
ENSG00000065413.20,135.283140236608,-2.17837315709076,1.36191067764375,0.00260438675425034,0.0498107019338784,ANKRD44,91526,ankyrin repeat domain 44
ENSG00000111348.9,961.566004818841,-2.1680299205199,0.843447234667314,0.000436958169821179,0.0147636272804497,ARHGDIB,397,Rho GDP dissociation inhibitor beta
ENSG00000088832.17,8345.14197803013,-2.16686908759523,0.671396693084394,6.4496286486181e-05,0.00357832652774427,FKBP1A,2280,FKBP prolyl isomerase 1A
ENSG00000166401.15,549.300926622709,-2.1627017912937,0.996958327668323,0.00114055736399565,0.0288541492549217,SERPINB8,5271,serpin family B member 8
ENSG00000101096.20,17.3645719485691,-2.15780389362137,1.31870171417168,0.00254954011244334,0.0490792400808396,NFATC2,4773,nuclear factor of activated T cells 2
ENSG00000255639.3,1766.76666081735,-2.14349916961892,0.534861572887092,3.47314833122253e-06,0.000362996624072319,NA,NA,NA
ENSG00000139625.13,233.500241566293,-2.12884260761883,0.750856274411916,0.000202845545419917,0.00849733950793476,MAP3K12,7786,mitogen-activated protein kinase kinase kinase 12
ENSG00000239672.7,4579.07782722602,-2.12782871243815,0.32328520505587,3.10826563360193e-12,3.38539205377676e-09,NME1,4830,NME/NM23 nucleoside diphosphate kinase 1
ENSG00000198805.11,913.263471577323,-2.12377115034307,0.781858576184327,0.000310926695366939,0.0116775263773565,PNP,4860,purine nucleoside phosphorylase
ENSG00000122861.16,6629.25248113446,-2.11887240145825,0.518862433483285,2.60988909530175e-06,0.000298392513470576,PLAU,5328,"plasminogen activator, urokinase"
ENSG00000253368.4,1001.73831062001,-2.11277709604387,0.588996381201001,1.86906113471174e-05,0.00134767773943292,TRNP1,388610,TMF1 regulated nuclear protein 1
ENSG00000115758.13,1345.84152584243,-2.10182369361398,0.30376545919451,3.09502890936093e-13,5.33737735419292e-10,ODC1,4953,ornithine decarboxylase 1
ENSG00000226038.5,6.92799587709891,-2.06624352173137,1.35803192902958,0.00431717748641729,0.0683521484798948,NA,NA,NA
ENSG00000113070.8,404.040602623316,-2.02843445233208,1.09108219887902,0.00217381306971656,0.0440596353229329,HBEGF,1839,heparin binding EGF like growth factor
ENSG00000232472.1,19.7346433003308,-2.02833430581438,0.981406285214712,0.00153619635471723,0.0351271241596888,NA,NA,NA
ENSG00000233098.9,31.5335631963061,-2.02349869688539,0.684709259943837,0.000142334444695568,0.00657250759977586,LOC339260,339260,uncharacterized LOC339260
ENSG00000272655.2,107.267272759977,-2.01646223496335,1.30654828429723,0.00289030643141181,0.0532609094315548,NA,NA,NA
ENSG00000157036.13,313.468709221938,-2.0075619511125,0.776263892931354,0.000448793116008842,0.0149795560365919,EXOG,9941,exo/endonuclease G
ENSG00000278212.2,60.6622877600457,-2.00179114104131,0.786096294835501,0.000495653417359366,0.0159767162287145,NA,NA,NA
ENSG00000267360.6,27.9638558755282,-1.99677107388248,1.02195999429026,0.00200949855065458,0.0420046090982281,NA,NA,NA
ENSG00000228063.2,19.826902408715,-1.99414916747787,0.606320340787641,6.31531157203945e-05,0.00354170887999415,LYPLAL1-DT,643723,LYPLAL1 divergent transcript
ENSG00000250634.6,35.4440231755975,-1.99370338635891,0.877802564741372,0.000990694820029444,0.0263514635034567,LINC01182,101929071,long intergenic non-protein coding RNA 1182
ENSG00000157168.20,1249.33189485696,-1.9925925801387,0.394223303065855,2.67669342791697e-08,7.19370049315763e-06,NRG1,3084,neuregulin 1
ENSG00000178105.11,440.59259469584,-1.98942708883516,0.456135982099545,7.58120895784649e-07,0.000113019458651402,DDX10,1662,DEAD-box helicase 10
ENSG00000108001.13,9.9987328084385,-1.98657857340895,1.34765982950251,0.00417444080413018,0.066707241699359,EBF3,253738,EBF transcription factor 3
ENSG00000213246.7,1299.58488909335,-1.98019659667207,0.467219267652538,1.40522309055886e-06,0.000187610881522742,SUPT4H1,6827,"SPT4 homolog, DSIF elongation factor subunit"
ENSG00000139318.8,1130.14727991692,-1.9705145621275,0.842613040506354,0.00085525137926228,0.0239190893494058,DUSP6,1848,dual specificity phosphatase 6
ENSG00000183032.12,43.176344991445,-1.95659926505023,1.01235832641611,0.00170799017206636,0.0376813951180611,SLC25A21,89874,solute carrier family 25 member 21
ENSG00000110002.16,332.644392230362,-1.95617427777375,0.637321309178394,0.000117299546677468,0.00567148789472787,VWA5A,4013,von Willebrand factor A domain containing 5A
ENSG00000100003.18,156.064902843322,-1.95272212518002,0.806275510655315,0.000700407621481984,0.0206470588589005,SEC14L2,23541,SEC14 like lipid binding 2
ENSG00000153132.13,208.620811509064,-1.93605791578415,1.09175196558471,0.00263511871772011,0.0502119094995324,CLGN,1047,calmegin
ENSG00000248187.1,8.73773481674207,-1.92757177472408,1.45771086161873,0.00488086966782266,0.0743228233303327,NA,NA,NA
ENSG00000241837.7,5139.1289204172,-1.91923133122103,0.413336665480407,2.26006325884508e-07,4.06693470248175e-05,ATP5PO,539,ATP synthase peripheral stalk subunit OSCP
ENSG00000228192.8,36.8828203964711,-1.91189634151028,0.929125447055974,0.00152201914965953,0.0349186965444062,NA,NA,NA
ENSG00000220749.4,16.7768115994977,-1.90766459074941,1.12453942335417,0.00305751824080427,0.0549715746960935,RPL21P28,100131205,ribosomal protein L21 pseudogene 28
ENSG00000235885.8,8.2663534048112,-1.904836150432,1.65223295956455,0.00541917828430338,0.0788084858857162,LOC101927661,101927661,uncharacterized LOC101927661
ENSG00000115539.14,626.962404054608,-1.88841130679274,0.483496874130078,5.89457864434836e-06,0.000569442532662442,PDCL3,79031,phosducin like 3
ENSG00000258590.5,7.52452078739389,-1.8878342117046,1.9275496066521,0.00534332963385695,0.0783044046236075,NA,NA,NA
ENSG00000135346.8,140.21803343956,-1.88251157326385,0.936882675741257,0.00142482145825992,0.033394377707671,CGA,1081,"glycoprotein hormones, alpha polypeptide"
ENSG00000166451.13,359.540431054356,-1.87909384366173,0.486812155465551,7.16870551776627e-06,0.000662273178502925,CENPN,55839,centromere protein N
ENSG00000125691.13,8261.29365670015,-1.87330107072577,0.401685966932367,2.10979517936216e-07,3.8637257913027e-05,RPL23,9349,ribosomal protein L23
ENSG00000183444.10,35.0266728443915,-1.86914359392188,0.755921573484898,0.000661781336831601,0.0198476854846278,NA,NA,NA
ENSG00000123416.15,60646.5413124553,-1.86289618477611,0.181923251793113,1.02256507656999e-25,1.05804808472697e-21,TUBA1B,10376,tubulin alpha 1b
ENSG00000092841.18,82424.6437492071,-1.86126798746699,0.572439863332734,6.68363371182696e-05,0.00368829642753459,MYL6,4637,myosin light chain 6
ENSG00000243181.2,18.6185819491787,-1.85734347760779,0.849320052645841,0.00142573250614881,0.033394377707671,NA,NA,NA
ENSG00000121904.17,113.110500864108,-1.85552048360014,0.976469676532667,0.002318917994246,0.0457897795543194,CSMD2,114784,CUB and Sushi multiple domains 2
ENSG00000144802.11,395.151426286295,-1.85435412110481,0.430115405637142,1.07152320231408e-06,0.000147827340991251,NFKBIZ,64332,NFKB inhibitor zeta
ENSG00000169129.15,58.4499646679236,-1.84908076758981,1.79354353056829,0.00598321486213473,0.0838480163848192,AFAP1L2,84632,actin filament associated protein 1 like 2
ENSG00000153233.13,40.0610275427354,-1.82105476731102,0.47867398323748,1.1584070708073e-05,0.000955062785788298,PTPRR,5801,protein tyrosine phosphatase receptor type R
ENSG00000122912.15,272.930037330179,-1.81115784679632,0.758204223869431,0.00082222192184243,0.0233402749665394,SLC25A16,8034,solute carrier family 25 member 16
ENSG00000162595.7,19.4420970007124,-1.80723172310302,0.745386547071196,0.000698803611094006,0.0206470588589005,DIRAS3,9077,DIRAS family GTPase 3
ENSG00000112297.16,190.767534481608,-1.80209600471132,1.24725022590522,0.00459452922783384,0.0714881111584913,CRYBG1,202,crystallin beta-gamma domain containing 1
ENSG00000180777.14,8.08271068021474,-1.79568192796358,1.61055911035507,0.00592224639460774,0.0834274791627042,ANKRD30B,374860,ankyrin repeat domain 30B
ENSG00000259091.1,26.6875680738186,-1.79412252096254,2.3488862783016,0.00669855211525337,0.0906103453269655,LINC00517,400208,long intergenic non-protein coding RNA 517
ENSG00000140105.18,3537.82540135635,-1.79103526698154,0.34747274504222,1.88158349605105e-08,5.24909702984076e-06,WARS1,7453,tryptophanyl-tRNA synthetase 1
ENSG00000169627.9,99.5688481256632,-1.78720219369105,0.56103633253486,8.70044354052588e-05,0.00448994959171178,BOLA2B,654483,bolA family member 2B
ENSG00000234636.2,5.23127555050669,-1.78505631076042,1.37920634318405,0.00598856519845186,0.0838480163848192,MED14OS,100873985,MED14 opposite strand
ENSG00000172331.12,4032.57157336691,-1.78292809998742,1.04329673835293,0.00315983724589961,0.0561766941294214,BPGM,669,bisphosphoglycerate mutase
ENSG00000104356.11,374.669190907979,-1.77292281726028,0.671740184328248,0.000451767403253542,0.0150303450850945,POP1,10940,"POP1 homolog, ribonuclease P/MRP subunit"
ENSG00000233828.5,13.1748408005222,-1.76668688536252,1.41461826680499,0.00547649230589288,0.0792521201245785,NA,NA,NA
ENSG00000110031.12,328.174630870451,-1.76661929541882,1.06747470413543,0.00353255538800804,0.0602660356137168,LPXN,9404,leupaxin
ENSG00000213190.4,1925.47164308694,-1.75135776331814,0.447810012263539,6.2599723015467e-06,0.00059152450597355,MLLT11,10962,MLLT11 transcription factor 7 cofactor
ENSG00000228716.7,510.401378436053,-1.7477969992652,0.379870300758426,3.02307763439248e-07,5.1182138849674e-05,DHFR,1719,dihydrofolate reductase
ENSG00000104907.12,121.576543845283,-1.73051107193427,0.920716500703911,0.00215999371045752,0.0438654659903904,TRMT1,55621,tRNA methyltransferase 1
ENSG00000163882.9,1038.61229521897,-1.72805137321599,0.315906489827172,3.42897389598716e-09,1.31636823246527e-06,POLR2H,5437,RNA polymerase II subunit H
ENSG00000113734.17,638.304065259764,-1.72491421666101,0.255598674040466,1.33981333388104e-12,1.84840647542228e-09,BNIP1,662,BCL2 interacting protein 1
ENSG00000172115.9,6495.05629419299,-1.71470972365335,0.422354802138589,3.4379421330897e-06,0.0003611409873206,CYCS,54205,"cytochrome c, somatic"
